April Collections Calls List Angaza ID,April Collections Calls List Date Called Date,April Collections Calls List Reachability
AC520356,4/18/19,Not Reached
AC547580,4/25/19,Not Reached
AC543583,4/27/19,Not Reached
AC530679,4/16/19,Not Reached
AC525417,4/29/19,Not Reached
AC542110,4/24/19,Not Reached
AC519223,4/24/19,Not Reached
AC516809,4/2/19,Reached
AC537494,4/17/19,Not Reached
AC501027,4/3/19,Not Reached
AC537924,4/8/19,Reached
AC535454,4/26/19,Not Reached
AC502429,4/4/19,Not Reached
AC557969,4/15/19,Not Reached
AC496971,4/19/19,Reached
AC553898,4/8/19,Reached
AC561692,4/3/19,Not Reached
AC500256,4/27/19,Reached
AC545150,4/2/19,Not Reached
AC523982,4/30/19,Not Reached
AC519875,4/8/19,Reached
AC530033,4/24/19,Not Reached
AC527623,4/15/19,Reached
AC557583,4/10/19,Not Reached
AC485131,4/3/19,Not Reached
AC517247,4/17/19,Reached
AC508959,4/10/19,Not Reached
AC510087,4/11/19,Not Reached
AC519996,4/8/19,Not Reached
AC500957,4/29/19,Not Reached
AC542645,4/30/19,Not Reached
AC508202,4/5/19,Not Reached
AC518453,4/17/19,Not Reached
AC520791,4/8/19,Not Reached
AC511334,4/2/19,Reached
AC524595,4/16/19,Reached
AC505716,4/5/19,Not Reached
AC498242,4/26/19,Reached
AC548880,4/4/19,Reached
AC545586,4/23/19,Not Reached
AC539295,4/2/19,Not Reached
AC560935,4/12/19,Reached
AC489619,4/3/19,Not Reached
AC500480,4/16/19,Not Reached
AC544014,4/11/19,Reached
AC517497,4/18/19,Reached
AC520307,4/1/19,Not Reached
AC532229,4/23/19,Not Reached
AC492441,4/15/19,Reached
AC523699,4/23/19,Not Reached
AC520423,4/24/19,Not Reached
AC521167,4/16/19,Not Reached
AC492584,4/23/19,Reached
AC534039,4/3/19,Not Reached
AC542223,4/17/19,Not Reached
AC521245,4/23/19,Not Reached
AC563590,4/9/19,Not Reached
AC551590,4/25/19,Not Reached
AC544187,4/27/19,Not Reached
AC563606,4/2/19,Not Reached
AC549346,5/3/19,Not Reached
AC499140,4/16/19,Not Reached
AC496488,4/16/19,Not Reached
AC500807,4/16/19,Reached
AC552681,4/11/19,Reached
AC540634,4/17/19,Reached
AC499691,4/2/19,Not Reached
AC497957,4/23/19,Not Reached
AC508774,4/23/19,Reached
AC490355,4/17/19,Not Reached
AC553878,4/3/19,Not Reached
AC498929,4/25/19,Not Reached
AC505166,4/23/19,Not Reached
AC498646,4/2/19,Not Reached
AC524752,4/10/19,Not Reached
AC518770,4/15/19,Not Reached
AC490676,4/8/19,Reached
AC501327,4/10/19,Not Reached
AC542119,4/16/19,Reached
AC558892,4/8/19,Reached
AC499192,4/4/19,Not Reached
AC517398,4/17/19,Reached
AC511285,4/15/19,Reached
AC484815,4/15/19,Reached
AC520856,4/3/19,Reached
AC521306,4/20/19,Not Reached
AC539934,4/9/19,Not Reached
AC562773,4/1/19,Not Reached
AC518488,4/3/19,Not Reached
AC526239,4/25/19,Not Reached
AC534582,4/16/19,Not Reached
AC561825,4/10/19,Not Reached
AC485477,4/23/19,Reached
AC559131,4/17/19,Reached
AC523784,4/23/19,Not Reached
AC502514,4/25/19,Not Reached
AC562387,4/24/19,Not Reached
AC544754,4/8/19,Not Reached
AC508454,4/26/19,Not Reached
AC555390,4/26/19,Not Reached
AC546919,4/13/19,Reached
AC486262,4/10/19,Not Reached
AC554041,4/11/19,Reached
AC490172,4/16/19,Reached
AC519583,4/23/19,Reached
AC549681,4/5/19,Not Reached
AC498022,4/15/19,Not Reached
AC497850,4/13/19,Not Reached
AC562421,4/4/19,Reached
AC514230,4/2/19,Not Reached
AC553229,4/23/19,Not Reached
AC501284,5/3/19,Not Reached
AC516025,4/3/19,Reached
AC552210,4/16/19,Reached
AC488264,4/18/19,Not Reached
AC512773,4/23/19,Not Reached
AC516000,4/16/19,Reached
AC517265,4/1/19,Not Reached
AC562607,4/10/19,Not Reached
AC553725,4/15/19,Not Reached
AC555217,4/24/19,Not Reached
AC510497,4/5/19,Not Reached
AC531822,4/1/19,Not Reached
AC502224,4/15/19,Not Reached
AC497620,4/27/19,Not Reached
AC544996,4/26/19,Reached
AC560951,4/13/19,Not Reached
AC492151,4/16/19,Reached
AC514909,4/24/19,Reached
AC491795,4/23/19,Not Reached
AC511823,4/23/19,Not Reached
AC489019,4/15/19,Reached
AC557781,4/12/19,Not Reached
AC499349,4/1/19,Not Reached
AC544839,4/23/19,Not Reached
AC521200,4/1/19,Not Reached
AC546971,4/16/19,Not Reached
AC530746,4/1/19,Not Reached
AC510989,4/23/19,Not Reached
AC558293,4/16/19,Not Reached
AC492772,4/12/19,Not Reached
AC565725,4/23/19,Not Reached
AC544354,4/15/19,Not Reached
AC520283,4/10/19,Reached
AC508156,4/10/19,Reached
AC498347,5/3/19,Reached
AC534177,4/30/19,Not Reached
AC550902,4/9/19,Not Reached
