Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
DISABLED,AC530845,Malindi,Kenya,9/16/19,9/14/19,6/5/18,2,-2.03,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US006598,471,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC536056,Nyamira,Kenya,,2/13/19,6/9/18,,,No,40,0.391338377,40,0.39,Home 60,Lake Zone,US002049,467,1.7,"12,495",122,7,"1,600",15.21871467,
ENABLED,AC527603,Moyo,Uganda,9/27/19,9/18/19,6/2/18,,8.88,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US000957,474,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC518532,Lira,Uganda,,2/11/19,5/25/18,,,No,730,0.195045836,750,0.2,Boom,South Nyanza,US021275,482,1.7,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC497533,Kilifi,Kenya,,3/16/19,5/9/18,,,No,20,0.21741021,20,0.22,Boom,South,US011011,498,1.8,"6,965",68,7,900,8.696408383,
UNLOCKED,AC541932,Mombasa,Kenya,,3/17/19,6/13/18,,,No,70,0.685513724,70,0.69,Home 120,West West,US011849,463,1.7,"22,225",217,7,"3,100",30.16260386,
UNLOCKED,AC536617,Morogoro,Tanzania,,7/10/19,6/9/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,Rift Valley,US004557,467,1.7,"317,530",138,7,"42,600",18.5293544,East
UNLOCKED,AC529210,Kyotera,Uganda,,8/8/19,6/4/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US010628,472,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC564467,Myaung Mya,Myanmar (Burma),,7/25/19,6/30/18,,,No,690,0.43885313,690,0.44,Home 60 + Radio,Eastern,US021523,446,1.6,"216,625",138,7,"29,100",18.5293544,East
DISABLED,AC516931,Minbu,Myanmar (Burma),9/10/19,9/7/19,5/24/18,9,-9.02,Yes,610,0.391338377,670,0.43,Home 60,Southern Highlands,US021441,483,1.9,"191,510",122,7,"23,900",15.21871467,
